ATU_Number,Title,Category,Subsection,Status,Exemplar_Tales,Sources,Notes
1,The Theft of Fish,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Reynard and Bruin (Joseph Jacobs); The Wolf and the Fox (French); Fish Thief (Japanese, Seki); Tub of Butter (Canadian); Uncle Remus parallels (Joel Chandler Harris)",https://libraryguides.missouri.edu/c.php?g=1083510; https://en.wikipedia.org/wiki/Aarne%E2%80%93Thompson%E2%80%93Uther_Index,"Fox plays dead on a road, fisherman tosses him on the cart, fox throws fish off.  Subsumes former AT 1*; frequently combined with type 2."
2,The Tail-Fisher,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Why the Bear Is Stumpy-Tailed (Asbjørnsen & Moe); Reynard and Bruin (Jacobs); Rabbit and Fox Go Fishing (African-American); Fox and the Magpie (British); Fox and Lapp (Andrew Lang Brown Fairy Book),https://en.wikipedia.org/wiki/Why_the_Bear_Is_Stumpy-Tailed; https://libraryguides.missouri.edu/c.php?g=1083510,Fox persuades bear/wolf to fish with its tail through ice; tail freezes off.  Native American 'How the Bear Lost His Tail' is a parallel.
3,Sham Blood (Sham-Sick Trickster),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Fish Thief (Japanese, Seki); various jackal/fox sham-injury tales",https://libraryguides.missouri.edu/c.php?g=1083510,Fox/jackal fakes wounds to ride on the back of a stronger animal; pairs with type 4.
4,Carrying the Sham-Sick Trickster,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Vixen (Chilean); Tiger Becomes a Riding Horse (African-American), https://libraryguides.missouri.edu/c.php?g=1083510,Pair to type 3; the dupe carries the trickster who has feigned weakness.
5,Biting the Foot,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Reynard and Bruin (European, Jacobs);  various wolf-and-frozen-root tales",https://libraryguides.missouri.edu/c.php?g=1083510,"Wolf bites a frozen tree root, mistaking it for the fox's foot."
6,Animal Captor Persuaded to Talk,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Liar Mvkang and the Water Snake (Burmese); Cock and the Fox (Norwegian), https://libraryguides.missouri.edu/c.php?g=1083510,Captive prey escapes by tricking captor into opening mouth/speaking. Related to Chaucer's Nun's Priest's Tale.
7,The Calling of Names (Three Tree Names),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Bear and the Fox Who Made a Bet (Norwegian), https://libraryguides.missouri.edu/c.php?g=1083510,—
8,The Painting (False Beauty Treatment),Animal Tales,Wild Animals: The Clever Fox (Other Animal),uncertain,—,https://en.wikipedia.org/wiki/Aarne%E2%80%93Thompson%E2%80%93Uther_Index,Title attested in some open-source listings but not verified in Missouri or Ashliman tables. Treat as provisional.
9,The Unjust Partner,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,The Monkey and the Crab (Japanese); Fox and the Heron (Irish); Dove and the Fox (Italian); Fox and the Wolf (German), https://libraryguides.missouri.edu/c.php?g=1083510,Uther absorbed former AT 9B into ATU 9. Missouri table notes 'formerly AT 9B'. 
10-14,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,No entries visible in any consulted open-source English-language index; possibly minor unindexed Uther 2004 entries or genuine gaps.
15,The Theft of Butter (Honey) by Playing Godfather,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Cat and Mouse in Partnership (Grimm KHM 2);  Bruin and Reynard (Dasent);  Mister Rabbit Nibbles Up the Butter  (Joel Chandler Harris, Uncle Remus);  Mrs. Fox and Mr. Wolf (Calvino)", https://sites.pitt.edu/~dash/type0015.html; https://libraryguides.missouri.edu/c.php?g=1083510,One of the most widespread fox tales; Reynard cycle and Uncle Remus parallels. 
16-19,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,Missouri table jumps from 15 to 20A; no entries verified.
21,Eating His Own Entrails,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,—,https://en.wikipedia.org/wiki/Aarne%E2%80%93Thompson%E2%80%93Uther_Index,Title attested in Uther but no exemplar tale could be verified in open-web English-language indices.
22-31,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,Missouri table skips from 20D* to 32. Numbers possibly unassigned in Uther 2004 or reserved for minor unindexed subtypes.
32,The Wolf Descends into the Well in One Bucket and Rescues the Fox in the Other,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Fox and Wolf (Andrew Lang Orange Fairy Book); The Wolf and the Fox in the Well (French); Fox and Rabbit in the Well (African-American);  Roman de Renart branch IV (Renart's well episode),https://libraryguides.missouri.edu/c.php?g=1083510,Famous Reynard cycle episode.
33,The Wolf Plays Dead,Animal Tales,Wild Animals: The Clever Fox (Other Animal),uncertain,—,https://libraryguides.missouri.edu/c.php?g=1083510,Title attested in standard listings; older AT 33* 'Father of a Hundred Tricks' and AT 33** 'Fox in Inishkea' were absorbed/reassigned near ATU 41 area.
34,The Wolf Dives into the Water for Reflected Cheese,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Wolf, the Laborer, the Fox, and the Cheese (British); Rabbit and the Coyote (Mexican); The Wolf and the Fox in the Well (French); Fox and Wolf (Spanish)", https://libraryguides.missouri.edu/c.php?g=1083510,Closely related to ATU 32 and ATU 92 (lion's reflection).
35,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,No entry verified in consulted sources.
36,The Fox in Disguise Violates the She-Bear,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Rabbit and the Fox (Mexican), https://libraryguides.missouri.edu/c.php?g=1083510,Uther title sometimes rendered 'The Fox Disguised as a Doctor Tricks the She-Bear'.
37,The Fox as Nursemaid for the Bear,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Six Hungry Beasts (Finnish); Little Boy-Bear Nurses the Alligator Children (African-American); The Fox as Herdsman (Asbjørnsen & Moe, listed as 37*)", https://libraryguides.missouri.edu/c.php?g=1083510,—
38,Claw in Split Tree,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,—,https://en.wikipedia.org/wiki/Aarne%E2%80%93Thompson%E2%80%93Uther_Index,Title attested in Uther 2004 but no specific exemplar verified in open-web English-language indices. Standard plot: wolf/bear caught with paw in cleft tree after wedge is removed. 
39-40,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,No entries verified.
41,The Wolf Overeats in the Cellar,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,The Wolf and the Fox (Grimm KHM 73);  Struggle Between the Wolf and the Fox (German);  Reynard cycle parallels,https://libraryguides.missouri.edu/c.php?g=1083510,Often paired with Grimm KHM 73;  absorbed older AT 33* and 33** material.
42-46,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,Missouri table skips from 41 to 47A; no entries verified.
48,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,No entry verified.
49,The Bear and the Honey,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Brer Rabbit's Riddle (Joel Chandler Harris), https://libraryguides.missouri.edu/c.php?g=1083510,—
